I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
Guys and Gals, we are proud to announce that version 1.0 of iOctocat is available on the App Store - go get it!  #GitHub #iPhone	GitHub	GitHub
@meowtaro Doh! At gig so can't go  on the other hand, #FNM minus 7 days. Yay!	FNM	FNM
@QueenofSpain sure thing!  we're doing wings at Hooters before #techkaraoke - I"m sure you're down	techkaraoke	Tech Karaoke
Got myself a silver Gameboy Micro for 12 bucks! All I need now are some cool games  Tips? #gba #nintendo #gameboy	gba	gba	GBA
Enjoying my MBP. It's my #firstmac	firstmac	first mac	firstmac
@HellcatBetty #Poop! They are phony! Don't go there.	Poop	poop
@BryanPerson my goodness I wish I could but business travel and Da duties preclude me going to #PAB2009.	PAB2009	PAB 2009
@LuvinMeSomeD My husband was like, why do you always cuss at the tv when #oltl is on? LOL....and he was right!!	oltl	OLTL	oltl
@lisjustice  #davethinkslisgaynohomo #rotflmao	davethinkslisgaynohomo	Dave thinks Lis gay no homo	dave thinks lis gay no homo	dave thinks l is gay no homo
Missed Stake Conf today.   But did Genealogy.  Prepping for Temple on Tuesday. #lds	lds	lds
Downloadin #windows7 so I can read #exchange mail because #gnome with latest #evolution with mapi stil fails  #linux #fedora #ubuntu #mapi	exchange	exchange
@TamaraSchilling U better b careful abt what U wish 4...   nah go ahead and wish away. (SPANK) #ilikeitrough  #Babealert  #babealertCEO	ilikeitrough	I like it rough
Going to bed, but must share what may be my favorite pic of @ivanbasso from the #Giro yesterday: http://twitpic.com/6fbz2 Not my hand.	Giro	Giro
@PinUpMom You are welcome and I mean it...The hastag bit #nothisdad etc...you have a gift	nothisdad	not his dad	no this dad
Another way to make *short* URLs: http://tinyarro.ws/, for example: www.?.ws/SK  #url	url	url
@tommcfly can't wait to see you guys live again! It was awesome!!  #mcflytosweden	mcflytosweden	McFly to sweden	mcfly to sweden
Very tempting, but I think I will pass.  Forever  #douchebag #happybirthdaytome	douchebag	douche bag
Listening to @stilkov do a talk at #jax09 on RESTful Web Services with Rails.  Nice to see a Rails track at a mostly Java conference	jax09	JAX09
not at #cgmnight	cgmnight	CGM Night
#gameporn I just tried thinking up something Okami-based, but then I had this horrible mental image involving painting lube and yiff.	gameporn	game porn
#urbrokeif the atm prints you a reciet that reads.. FAIL  LoL HELL YEA HA	urbrokeif	ur broke if	u r broke if
Yeah....our big class project @ school finished 2day  #projectaward	projectaward	project award
#nothingpersonal this is gonna work #nothingpersonal #nothingpersonal #nothingpersonal #nothingpersonal #nothingpersonal #nothingpersonal	nothingpersonal	nothing personal
@stelzner I hope you'll be at #SHRM09!  That would be awesome to finally meet you, and not just hear your deep voice through a computer.	SHRM09	SHRM 09
That reminds me i havn't seen #laurasboobs since we hung out at Alex preston's house.	laurasboobs	Laura's boobs
back from school, long day at lest I snagged one class today, SCORE!! #deficit in #California is hard on us #community #college #students	students	students
Have just discovered that #Sharepoint Online doesn't supoprt mail-enabled lists  #BPOS	Sharepoint	Sharepoint	sharepoint
John Andretti is not in the field as of now  #bumpday #indy500	bumpday	bump day
Win chance to win Free #IzeaFest Ticket Code on 6/15 fm @brettbum Entry Details http://bit.ly/110oSX - $225 value	IzeaFest	IzeaFest	Izea Fest
@davidsteven Makes me wonder how many of our US politicians have read the Constitution lately. Gingrich + Huckabee.   #fail #constitution	constitution	constitution
@blue_raven I'm digging the cut of your #nuckvatar jib.	nuckvatar	nuck vatar	nuckvatar
@janoda Thank you for the link! In addition to zombie stories I also have dark sci-fi and dark fantasy novellas, all free.  #fiction	fiction	fiction
#iamontwitter im so lonely!!!  nom nom nom good ice cream and bon bons!	iamontwitter	i am on twitter
@cyberbaguioboy @jjdoblados @meriel I wonder how that was even approved by the #ASC in the first place	ASC	ASC
YAY! Last day of work before Infocomm #IC09. Have to make the work day go by faster.....cleaning backstage usually does it	IC09	IC 09
I'll never understand #GIT...	GIT	git	GIT
@MrsMcflyGrimmy awh id love to go over but doubt me mam will let me  so you upto much #wang? Xx	wang	Wang	wang
@3heelshigh Oh :-O stil hv sm wrk 2 complete  Mummyyy ..hurry up Kittu hurry up  OK Now no more #Kanpur ia talk frm myside  4 tdy @aDeSe	Kanpur	Kanpur
@FelineUnit  I'm sorry your brother has gone to the dogs   Did you see that I started a new hash #TUXEDOTUESDAY & put you in the list ?	TUXEDOTUESDAY	tuxedo tuesday	TUXEDO TUESDAY
@memith HAHA, not that well, unfortunately. It's really hard capturing these characters, especially Niles and Fran.  #CliqueOfTwitter	CliqueOfTwitter	clique of twitter
#johno not even eBay has helvetica moleskine!  I have looked everywhere! And I super super need one! http://twitpic.com/7ovm7	johno	Johno
Those of you that wanted to work on the #ffeasy website, chime in now and get on board. We're off	ffeasy	ff easy	ffeasy	FFeasy
To all my followers - I apologize a head of time for the tweets that will be coming. Heading to the #nkotb concert!	nkotb	NKOTB
@vivzy Yeah.! Forgot about it.! Yeah i think i will go. You gonna be there? What about @binnyva? #operationbinnyraid sounds perferct!	operationbinnyraid	operation binny raid
finding parking on #CapitolHill in #Seattle on a #SaturdayNight for my @FordFiesta Daphne. Priceless  #fiestamovement	CapitolHill	Capitol Hill
@CEOwellness  We sure have    I was the first person you spoke to @2motivate preview &  introduced you to some1 there.   Also #ceospace509	ceospace509	CEO Space 509
#publicserviceannouncement niggas we dont give a fuck if u can dance if u put a you tube vid up of u dancing u officially gay lmfao	publicserviceannouncement	public service announcement
@KarenRedShoesPR how cool! Glad you guys had a good turnout  #blsms	blsms	BLSMS	blsms
I want to tell you all about #businesslunchclub, but @aaronhoos won't let me yet. It's a secret	businesslunchclub	business lunch club
wow, who picks these garrish colors. white reversed h2s can NOT be read on top of yellow. [coding it anyway]  #designflaw	designflaw	design flaw
@thomam I wish - spent the afternoon on the phone to #Delhi and #UAE   #FlexiFriday ramorra though, so will make it in the morning	FlexiFriday	Flexi Friday
#Eurovision - #Malta 's Chiara has a very strong voice. Like, seriously. o.o She most definitely could/should  WIN.	Malta	malta
@m0php  I don't know who did it to be honest. Probably best that I don't find out too. #theydgetapieceofmymind	theydgetapieceofmymind	they'd get a piece of my mind
Yay! Finally picked a name for my blog! lol It should've been easier and obvious lol www.fibenymph.blogspot.com #fibromyalgia Follow me	fibromyalgia	fibromyalgia
#moon looks amazing tonite  through my new #binoculars wish I had a  #telescope though	telescope	telescope
hmm, is #gmail now forcing to #rich #format? instead of #plain #text?	format	format
@eberglund i'll try to check it out  how are their live performances these days?they're here this summer! #punk #parkpop	parkpop	Parkpop
@jmoonah  I hope she's feeling better soon. I'll be missing the first part of #bcto09 too. #familytime	bcto09	BCTO 09
@ubringmejoi #imaddictedto  to  TALL, DARK CHOCOLATE MEN,@twitter,mybed,my cellphone,& my thong collection	imaddictedto	I'm addicted to
@Donnette8676 Thank you for your entry!  #winewhoregiveaway	winewhoregiveaway	wine whore give away
#UnitedWay #DayofCaring today!  Heading out to #Marillac to play kickball with the kids	UnitedWay	United Way
just seen the total so far for the #BlissTwits cool	BlissTwits	bliss twits
Still looking for a moderator for Euro #CollegeJourn tonight 8pmBST. Can you help? Otherwise, it'll not be on	CollegeJourn	CollegeJourn	College Journ	college journ
@MikeDriehorst  I hadn't thought about a Saline #Tweetup; perhaps when I'm not working midnights. ;-)  BTW - it's @gdriskell	Tweetup	Tweetup
@dogjustice Thanks so much for your donation for #Chance UR da best!!  Such a hard blow after working so hard to save him	Chance	Chance
http://twitpic.com/65j19 - Pic taken by me of #Kate #Thornton @katethornton - One of the nicest ladies I've met	Thornton	Thornton
http://twitpic.com/2y6z6 See where we've been moved too.  #dwsr	dwsr	dwsr	DWSR
...and I replied. "It dropped becoz over the 2 week holidays I spend every day jamming the pennies in the piggybank!"... #vindication	vindication	vindication
Stuck at the bugged out gate on the first boss in Halls of Crafting #lotro  *sigh*  Book 8 is not looking good tech wise.	lotro	lotro	LotRO
Good Morning Resistance Troops!  #terminator #sarahconnor #tscc	sarahconnor	Sarah Connor
Oh i received an answer for a ticket that is 6!!!!!! month old. This is really really  fast  #cob #ticket	cob	cob
@Woywegian  Yes planning on making the meeting for @ccbiz It will be great to meet all of you #ccbiz  #centralcoastnsw friends	ccbiz	ccbiz	CCBiz
@repressd @ikovannoy @hipmamacita @mmmBrie @KKCornelison A #margaritamass on Sun. & a #whoreup on Monday works for me!	whoreup	whore up
@markvidovich as mark hurd would say.  #mydatahero #datagoodness #datadatadata	datagoodness	data goodness
Kind of wish i never had a #tappsaff day tbh  http://bit.ly/GZR01	tappsaff	tapps aff	Tapps-Aff
@jennyhopes   be posi! listen to #thesoundtrack	thesoundtrack	the sound track
@ZenDoc congrats old man  (i'm just teasing - #age is meaningless!)	age	age
Poor baby  @naturallife "adjusted" month-old colic baby. "Parents trust me enough to work on their baby" #chiropractic #bogus #singhbca	chiropractic	chiropractic
#duffphotoupload Still no joy with my pic & Ushers wife @TamekaTaymond is having probs now too	duffphotoupload	duff photo upload
Watching #24 #season7 final episodes..this show is great  http://www.imdb.com/title/tt0285331/	season7	season 7
Thank you to all who recommended me for #followfriday & #SundayShoutout.	SundayShoutout	Sunday shoutout
@tornadoliese  lets eat some #cereal together sometime. any time of day or night.	cereal	Cereal
@ScottkGuthrie I'll fix that. #TGIF j/k	TGIF	TGIF
It was my fault for leaving my flip-flops outside my locker while swimming at USF Koret but why oh why would you want to take 'em? #R2IMT	R2IMT	R2IMT	r2 imt
Made a mistake in #militarymon @CGCommandant <<<Follow him for sure, the Big Kahuna #USCG -All due respect Sir	USCG	USCG
Excited about #ATB tomorrow at Pasha!!!!!!!  Wooo! Will be rollin with cane though.  #nyc hahaha	nyc	nyc	NYC
Anyone happen to have a link to a mirror containing the latest version of #TortoiseSVN? SourceForge is down, and I need to upgrade it	TortoiseSVN	TortoiseSVN
Vettel's in a fettle - heehee  That means he's moody, for all y'all non-Geordies. So obvious he's gutted with 3rd place #grand prix	grand	grand	Grand
Setting off for #thatlondon new track cushion in tow	thatlondon	that london
Videos I shot at the #tiller shooting scene this morning  http://bit.ly/14KBQY	tiller	Tiller	tiller
#or09 MattZ admits to Teh Clumsy.	or09	OR 09
at panera and using a #wii remote to control a presentation!  fun stuff #keynote #mac	keynote	Keynote	keynote
????? ??? ?? #SCT5 ???????????, ????? ???????? ????, ??????? ?????  ??. ?????????, ???? ?? ??? ??? ??????? ??????.	SCT5	SCT 5	SCT5
Looks like #j-ongaku is dead. Sad that	j	j
#Badsex: is when you delete there number out your phone b4 they leave your room.	Badsex	bad sex
@tiffykt Did that last night... almost missed my stop...  #ipoddrop	ipoddrop	iPod drop
#twinelis = wine + food + nice people having fun  Today at 7pm at DeliDelux	twinelis	twinelis
F#cking muskitos! I feel soo sorry for myself..	cking	cking
Nothing cool gets released on Saturday. Guess I'll do my chores  #stillunemployed	stillunemployed	still unemployed
Day 13: Worst practice ever - just not myself and feeling awful, it was a stretch to stay in the room (but not to pun  ) #mokshachallenge	mokshachallenge	Moksha Challenge
#p90x time! Week 3, Day3 - I am really looking forward to ab ripper! Didn't think that was possible 3 weeks ago...  #p90xreport	p90xreport	p90x report
Don't think I can get the stream stable on this connection.  Sorry #smcchs   (SMC Charleston live > http://ustre.am/3Dae)	smcchs	SMCCHS
http://twitpic.com/6eifl - #FridgeFreezerWars Stocks going fast but trumped by @RuffianGames Fridge	FridgeFreezerWars	Fridge Freezer Wars
@ Town Pump having a few Coronas before heading to the #detroittigers game! So happy it's Friday.	detroittigers	detroit tigers
Time setting on my of my camera bodies was off by an hr, now images are all out of order in #LightRoom, not happy.	LightRoom	Light Room
@xxMissCEO I found my thing on Twitter!!! ...You have your #VBlog,  @ja3rok has #zutweet TWITcast, and I'll have #BigPamAdvice ...	BigPamAdvice	Big Pam Advice
you know you are at the end of the world when the next twitter is more than 10km away  ... #glarus: you know .. http://tinyurl.com/ngeexh	glarus	glarus	Glarus
#tirebiter (it's my boyfriend's project. and it's pretty sweet.) i'm so cliche.	tirebiter	tire biter	tirebiter
#Waterboarding is torture. #America condoned it. Should not use again. Done. #moveon  No hearings, no trials. Learn from it.	Waterboarding	waterboarding
Goodnight twitterverse! I'm going to be alone with my pain  #nastyearinfections	nastyearinfections	nasty ear infections
Not going to make the @artomaticmatic #photowalk today.  Ankle hurts too bad still.	photowalk	photo walk	photowalk
@jmoonah  I hope she's feeling better soon. I'll be missing the first part of #bcto09 too. #familytime	familytime	family time
Obrigado/Thanks 15.000 Followers Obrigado pelo carinho de todos ))) #BrunoSwell Visit my Blog  http://www.blogpop.com.br #BlogPop	BlogPop	blogpop	blog pop	BlogPop
6 Ways to Indulge your TED Talks Addiction: http://tr.im/l00C @TEDchris What else needs to be on this list?   #TED	TED	TED
The sounds of bugs slamming into the window makes me feel a sense of superiority  #swagbucks	swagbucks	swag bucks
Making @alidapham 's famous #brokkenpiloot using her very own secret recipe	brokkenpiloot	brokken piloot
What a wonderful afternoon on Portobello Road  by pit van meeffe: http://tinyurl.com/dnx3tj #sexy #babes	sexy	sexy
@sobojosie Of course. My understanding/assumption is that #baltraffic is for civilian/unofficial/offduty use.	baltraffic	baltraffic	bal traffic
watching #dmb concert live on Hulu. kinda sad. no Leroi.	dmb	DMB	dmb
#ihaveatwittercrushon @thepresidentjx3	ihaveatwittercrushon	i have a twitter crush on
#WSBK live stream doesn't work in Firefox	WSBK	wsbk	WSBK
